text,Опыт работы,Обязанности,Дополнительные требования,График работы,Высшее образование,Требуемые навыки
"""Обязанности:  Приём и обработка обращений клиентов по технической поддержке услуг ШПД/IPTV/ VoIP; Осуществление дистанционной диагностики и корректировки работоспособности услуг с помощью программного обеспечения; Удалённая настройка клиентского оборудования;  Требования:  Навыки уверенного пользования ПК; Приветствуется опыт работы в сфере телекоммуникаций; Образование не ниже среднего полного;  Условия:  Работа с крупнейшем в России провайдером цифровых услуг и решений; Возможность полностью удаленной работы, либо работы в офисе; Оформление по ТК РФ; Полностью белая заработная плата; Оплачиваемое корпоративное обучение; Социальный пакет (ДМС, ежегодный оплачиваемый отпуск, больничный и т.д.); Возможность карьерного и профессионального роста; График работы плавающий, обсуждается на собеседовании;""",Приветствуется опыт работы в сфере телекоммуникаций,Приём и обработка обращений клиентов по технической поддержке услуг ШПД/IPTV/ VoIP;; Осуществление дистанционной диагностики и корректировки работоспособности услуг с помощью программного обеспечения; Удалённая настройка клиентского оборудования,,полностью удаленной работы; либо работы в офисе; График работы плавающий,Образование не ниже среднего полного,пользования ПК
"""Обязанности:  Обслуживание действующих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; ремонт и настройка оборудования, проверка работоспособности; консультирование клиентов по работе оборудования и техническим вопросам.  Требования:  Готовность к разъездному характеру работы (по городу); интерес к сфере телекома и желание развиваться в заданном направлении (нет опыта - мы научим!).  Условия:  График работы 5/2 (либо 2/2) с плавающими выходными; Оформление в штат с первого рабочего дня, расширенный соцпакет после испытательного срока: полис ДМС, компенсация затрат на фитнес и медицинские услуги, дополнительные выплаты к отпуску, компенсация процентов по ипотечному кредиту; оборудование и спецодежда предоставляются; опытные коллеги и наставники, которые помогут быстрее адаптироваться в компании; всестороннее развитие: корпоративный онлайн-университет, доступ к электронным библиотекам с широким выбором бизнес-литературы, компенсация профильного внешнего обучения; компенсация сотовой связи и специальные условия на услуги компании для сотрудников, корпоративные скидки у компаний-партнеров; готовы рассмотреть кандидатов с опытом работы на вакансиях: техник, монтажник, электрик, электромонтёр, кабельщик, системный администратор, техник-слаботочник, выездной мастер, инженер-монтажник, сервисный инженер.""","нет опыта; с опытом работы на вакансиях: техник, монтажник, электрик, электромонтёр, кабельщик, системный администратор, техник-слаботочник, выездной мастер, инженер-монтажник, сервисный инженер","Обслуживание действующих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; ремонт и настройка оборудования; проверка работоспособности; консультирование клиентов по работе оборудования и техническим вопросам",Готовность к разъездному характеру работы; интерес к сфере телекома,5/2; либо 2/2,,
"""Обязанности:  Обслуживание действующих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом; Ремонт и настройка оборудования, проверка работоспособности;  Требования:  Готовность к разъездному характеру работы (по городу); Интepес к сфере телекома и желание развиваться в заданном направлении (нет опыта - мы научим!);  Условия:  График работы 5/2 (либо 2/2) с плавающими выходными; Оформление в штат с первого рабочего дня, расширенный соцпакет после испытательного срока: полис ДМС, компенсация затрат на фитнес и медицинские услуги, дополнительные выплаты к отпуску, компенсация процентов по ипотечному кредиту; Оборудование и спецодежда предоставляются; Опытные коллеги и наставники, которые помогут быстрее адаптироваться в компании.""",нет опыта,"Обслуживание действующих абонентов (физических лиц) и устранение перебоев доступа к услугам компании: интернет, интерактивное ТВ, видеонаблюдение, умный дом;; Ремонт и настройка оборудования; проверка работоспособности",Готовность к разъездному характеру работы; Интepес к сфере телекома,5/2; либо 2/2,,
"""Ростелеком ищет Специалиста технической поддержки, который усилит команду поддержки блока технической инфраструктуры. Обязанности:  Приём и обработка телефонных обращений клиентов по технической поддержке услуг ШПД/IPTV/ VoIP, переданных 1 линией технической поддержки; Удалённая настройка клиентского оборудования; Осуществление дистанционной диагностики и корректировки работоспособности услуг; Выполнение требований по качеству обслуживания согласно Стандартов Обслуживания Клиентов.  Требования:  Грамотная и четкая речь, хорошая дикция; Готовность много общаться с людьми, умение быстро устанавливать контакты и выявлять потребности клиентов; Владеть знаниями основ построения сети, знаниями основных ОС, быть уверенным пользователем ПК; Готовность к гибкому графику работы. Опыт работы в сфере телекоммуникаций приветствуется;  Условия:  Начало карьеры в крупнейшем в России интегрированном провайдере цифровых услуг и решений: делайте жизнь миллионов людей лучше с помощью технологий и развивайтесь за счет объемных и интересных задач; Доход состоит из оклада и ежемесячной премии по результатам работы; Удаленная работа, график работы сменный с плавающими выходными, гибкое начало рабочего дня; Оформление в штат с первого рабочего дня, расширенный соцпакет для опытных сотрудников: компенсация затрат на фитнес или медицинские услуги, дополнительные выплаты к отпуску, компенсация процентов по ипотечному кредиту; Всестороннее обучение: корпоративный онлайн-университет, программы обучения коммуникациям с клиентами, доступ к электронным библиотекам с широким выбором бизнес-литературы; Компенсация затрат на интернет, специальные условия на услуги компании для сотрудников, корпоративные скидки у компаний-партнеров.""",Опыт работы в сфере телекоммуникаций приветствуется,"Приём и обработка телефонных обращений клиентов по технической поддержке услуг ШПД/IPTV/ VoIP,; переданных 1 линией технической поддержки; Удалённая настройка клиентского оборудования; Осуществление дистанционной диагностики и корректировки работоспособности услуг; Выполнение требований по качеству обслуживания согласно Стандартов Обслуживания Клиентов",Грамотная и четкая речь; хорошая дикция; Готовность много общаться с людьми; умение быстро устанавливать контакты; выявлять потребности клиентов,гибкому графику; Удаленная работа; график работы сменный с плавающими выходными; гибкое начало рабочего дня,,Владеть знаниями основ построения сети; знаниями основных ОС; пользователем ПК
"""ГПХ Обязанности:  Строительство воздушных линий связи в частном секрете.    Требования:  Средне-специальное образование; Инструменты для работы, лестница до 7 метра; Документ по охране труда и по электробезопасности.    Условия:  Работа в крупнейшем в России провайдере цифровых услуг и решений; Официальное оформление по договору ГПХ; Пятидневная рабочая неделя с 9:00 до 18:00. Преимущественно разъездной характер работы; Адрес офиса: г. Краснодар, ул. Гагарира, д. 67; Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами; Насыщенная жизнь внутри компании: спортивные событияи турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность; Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",,Строительство воздушных линий связи в частном секрете,Преимущественно разъездной характер работы,Пятидневная рабочая неделя; с 9:00 до 18:00,Средне-специальное образование,Инструменты для работы; лестница до 7 метра; Документ по охране труда и по электробезопасности
"""Обязанности:  Ведение заявок физических и юридических лиц; Работа с персоналом: обучение, адаптация агентов; Выполнение и контроль плановых показателей по продажам.  Требования:  Средне-специальное/высшее образование; Уверенный пользователь ПК;  Условия:  Работа в Ростелекоме — это официальное оформление и широкий социальный пакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться;  Стабильный и прозрачный доход с первого месяца: оклад + ежемесячные премии;   Пятидневная рабочая неделя с 08:00 до 17:00;   Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами;   Медицинская страховка после испытательного срока (телемедицина), жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка), помощь корпоративного психолога и юриста;   Насыщенная жизнь внутри компании: спортивные события турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность;   Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",,"Ведение заявок физических и юридических лиц; Работа с персоналом: обучение, адаптация агентов; Выполнение и контроль плановых показателей по продажам",,Пятидневная рабочая неделя; с 08:00 до 17:00,Средне-специальное/высшее образование,пользователь ПК
"""Обязанности:  Руководство подчиненными сотрудниками Контроль и координация строительства новых локаций  Организовывать своевременное выполнение работ   Контроль качества выполненных работ   Требования:  Опыт работы от 1 года в отрасли связь, Высшее образование Уверенный пользователь ПК  Условия:  Работа в Ростелекоме —это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться Стабильный и прозрачный доход с первого месяца: оклад + премии + годовой бонус. График работы 5/2 с 08:00 до 17:00. Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами Медстраховка после испытательного срока (телемедицина, обследования),жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка),помощь корпоративного психолога и юриста. Насыщенная жизнь внутри компании: спортивные событияи турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность. Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",Опыт работы от 1 года в отрасли связь,Руководство подчиненными сотрудниками; Контроль и координация строительства новых локаций; Организовывать своевременное выполнение работ; Контроль качества выполненных работ,,,Высшее образование,пользователь ПК; 5/2; с 08:00 до 17:00
"""Обязанности:  Осуществляет планирование, организацию и качественное проведение аварийно-восстановительных работ, техническое обслуживание и ремонт линейно-кабельной инфраструктуры магистрального, внутризонового, местного уровней в сроки  Определяет порядок проведения работ, распределяет обязанности между членами бригады и документирует работы;  Осуществляет обслуживание и контролирует состояние кабельных переходов через водные преграды на магистральной и внутризоновой сети связи;   Требования:  Рассмотрим без опыта, с желанием учиться  Условия:  Работа в Ростелекоме —это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться Стабильный и прозрачный доход Пятидневная рабочая неделя с 8:30 до 17:30. Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами Медстраховка после испытательного срока (телемедицина),жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка),помощь корпоративного психолога и юриста. Насыщенная жизнь внутри компании: спортивные событияи турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха""",без опыта,"Осуществляет планирование; организацию и качественное проведение аварийно-восстановительных работ; техническое обслуживание; ремонт линейно-кабельной инфраструктуры магистрального, внутризонового, местного уровней в сроки; Определяет порядок проведения работ, распределяет обязанности между членами бригады и документирует работы; Осуществляет обслуживание и контролирует состояние кабельных переходов через водные преграды на магистральной и внутризоновой сети связи",,Пятидневная рабочая неделя; с 8:30 до 17:30.,,
"""В Управление эксплуатации единой интеграционной платформы в команду дежурной смены требуется инженер технической поддержки Обязанности:  Прием и обработка инцидентов на 2-й линии технической поддержки, связанных с интеграционными решениями и процессами; Мониторинг интеграционных решений и интеграционных процессов; Диагностика и проведение работ по исправлению результатов аварий, сбоев, инцидентов, проблем; Взаимодействие со смежными подразделениями и 3-й линией технической поддержки.  Требования:  Образование не ниже среднего профессионального; Готовность к работе в сменном режиме (смены с 8.00 до 20.00 или с 20.00 до 08.00); Опыт работы с Unix подобными ОС:- операции с файлами и каталогами (создание, чтение, удаление, проверка и контроль прав доступа);- работа с логами (поиск, анализ);- умение пользоваться утилитами диагностики сети (ping, mtr, tracepath);- диагностика ресурсов сервера (загрузка процессора, объём доступной RAM, объём свободного места на дисках)- взаимодействие с api сервисом по средствам командной строки. Базовые знания реляционных СУБД и языка работы с данными SQL:- умения написания простых запросов выборки и манипуляции данными (SELECT, INSERT, UPDATE); Умение работать с системами мониторинга (Zabbix, Kibana, Dynatrace, Prometheus-Grafana); Понимание что такое элемент данных, триггер, действие, событие и т.д.; Умение использовать уже настроенную систему для отслеживания состояния здоровья сервиса; Работа с основным бизнес ПО: ServiceDesk, Atlassian Jira, Atlassian ConfluenceБазовые навыки работы в офисных программах Microsoft Office (Электронная почта Outlook, Word, Excel) или импортозамещенных аналогах.  Условия:  Работа в крупнейшем в России интегрированном провайдере цифровых решений; Рабочая неделя с предоставлением выходных дней по скользящему графику ( работа сменная - дневная с 8:00 по 20:00 , ночная с 20:00 по 8:00); Возможность гибридного формата работы; Официальное оформление — согласно ТК РФ (полный соц. пакет: ежегодный оплачиваемый отпуск, оплата больничных).""",,"Прием и обработка инцидентов на 2-й линии технической поддержки; связанных с интеграционными решениями и процессами; Мониторинг интеграционных решений и интеграционных процессов; Диагностика и проведение работ по исправлению результатов аварий, сбоев, инцидентов, проблем; Взаимодействие со смежными подразделениями и 3-й линией технической поддержки",,Образование не ниже среднего профессионального; сменном режиме; смены с 8.00 до 20.00; с 20.00 до 08.00; сменная; дневная с 8:00 по 20:00; ночная с 20:00 по 8:00; гибридного формата работы,,"Unix; подобными ОС; операции с файлами и каталогами; создание, чтение, удаление, проверка и контроль прав доступа; работа с логами (поиск, анализ);-; умение пользоваться утилитами диагностики сети (ping, mtr, tracepath);-; ping, mtr, tracepath; диагностика ресурсов сервера; загрузка процессора, объём доступной RAM, объём свободного места на дисках; взаимодействие с api сервисом по средствам командной строки; реляционных СУБД; SQL; простых запросов выборки и манипуляции данными; SELECT, INSERT, UPDATE; Zabbix, Kibana, Dynatrace, Prometheus-Grafana; Понимание что такое элемент данных, триггер, действие, событие; Умение использовать уже настроенную систему для отслеживания состояния здоровья сервиса; Работа с основным бизнес ПО: ServiceDesk, Atlassian Jira, Atlassian; Microsoft Office; Outlook, Word, Excel"
"""В Управление эксплуатации единой интеграционной платформы требуется старший инженер технической поддержки Обязанности:  Поддержка интеграционных сервисов; Решение инцидентов, проработка проблем, разработка инструкций; Взаимодействие с вендорами по вопросам разрешения выявленных проблем.  Требования:  Понимание базовых принципов и определений ITIL (Понятие SLA, KPI, инцидент и др.); Понимание структуры реляционной базы данных; Опыт написания сложных sql запросов; Опыт написание скриптов, создания функций и процедур; Опыт работы с Unix подобными ОС:- работа с логами (поиск, анализ, реализация скриптов автоматизации работы с логами);- умение пользоваться утилитами диагностики сети (ping, mtr, tracepath);- диагностика ресурсов сервера (загрузка процессора, объём доступной RAM, объём свободного места на дисках)- взаимодействие с api сервисом по средствам командной строки.- умение найти, завершить и запустить процесс;- настройка запуска процессов по расписанию (crontab). Понимание принципов работы с протоколами (REST, SOAP); Базовые знания сетей и протоколов передачи данных TCP/IP, UDP, HTTP/HTTPS; Опыт диагностирования работоспособности web сервисов, разбора типовых ошибок; Работа с ПО для оркестрации контейнеризированных приложений; Опыт развёртывания образов в продуктивную среду; Настройка систем мониторинга, логирования и визуализации (Zabbix, Kibana, Dynatrace, стек Prometheus-Grafana). Проработка системных мониторингов состояние здоровья сервиса.  Условия:   Работа в крупнейшем в России интегрированном провайдере цифровых решений;  Возможность проходить обучение (внутреннее и внешнее обучение, доступ к корпоративным библиотекам технической и бизнес литературы); Возможность работы в гибридном формате; Официальное оформление — согласно ТК РФ (соц. пакет: ежегодный оплачиваемый отпуск 28 календарных дней, оплата больничных); Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы, волонтерство и благотворительность.""",,Поддержка интеграционных сервисов; Решение инцидентов; проработка проблем; разработка инструкций; Взаимодействие с вендорами по вопросам разрешения выявленных проблем,,гибридном формате,,"ITIL (Понятие SLA, KPI, инцидент и др.);; реляционной базы данных; сложных sql запросов; скриптов, создания функций и процедур; Unix подобными ОС:-; работа с логами (поиск, анализ, реализация скриптов автоматизации работы с логами);-; умение пользоваться утилитами диагностики сети (ping, mtr, tracepath);-; диагностика ресурсов сервера (загрузка процессора, объём доступной RAM, объём свободного места на дисках)-; взаимодействие с api сервисом по средствам командной строки; умение найти, завершить и запустить процесс; настройка запуска процессов по расписанию (crontab).; Понимание принципов работы с протоколами (REST, SOAP);; Базовые знания сетей и протоколов передачи данных TCP/IP, UDP, HTTP/HTTPS; web сервисов, разбора типовых ошибок; Опыт развёртывания образов в продуктивную среду; Работа с ПО для оркестрации контейнеризированных приложений; Настройка систем мониторинга, логирования и визуализации (Zabbix, Kibana, Dynatrace, стек Prometheus-Grafana).; Проработка системных мониторингов состояние здоровья сервиса"
"""В Управление эксплуатации систем управления ресурсами сети приглашаем Специалиста поддержки пользователей (2ЛТП), которому предстоит решать следующие задачи:  Поддержка внутренних систем; Прием и решение обращений пользователей, консультации по функционалу, выдача прав доступа; Повторение ошибок пользователей на тестовых средах; Взаимодействие со специалистами смежных подразделений, вендором; Наполнение и актуализация базы знаний.  Что мы от вас ждем:  Опыт работы в системах регистрации запросов Service Desk от 2 лет; Опыт написания простых SQL скриптов (select, join); Уверенная работа с JIRA/Confluence; Понимание сетевых технологий (стек протоколов TCP/IP, HTTP).  Что мы предлагаем:  Работа в крупнейшем в России интегрированном провайдере цифровых решений; Пятидневная рабочая неделя (Гибридный формат); Конкурентный и прозрачный совокупный доход. Детали обсудим на собеседовании; Профессиональный рост; Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность.""",Опыт работы в системах регистрации запросов Service Desk от 2 лет,"Поддержка внутренних систем; Прием и решение обращений пользователей; консультации по функционалу; выдача прав доступа; Повторение ошибок пользователей на тестовых средах; Взаимодействие со специалистами смежных подразделений, вендором; Наполнение и актуализация базы знаний",,Пятидневная рабочая неделя; Гибридный формат,,"SQL скриптов (select, join);; Уверенная работа с JIRA/Confluence; стек протоколов TCP/IP, HTTP; сетевых технологий"
"""В Управление технической поддержки Юг (рабочее место в г. Краснодар) требуется инженер технической поддержки Обязанности:  Обеспечивать техническое обслуживание СВТ и оргтехники в составе АРМ пользователей в зоне ответственности; Организовывать установку, настройку и сопровождение офисного и специализированного программного обеспечения в составе автоматизированных рабочих мест пользователей; Блочный ремонт ПК и оргтехники, замена расходников.  Что мы от вас ждем:  Желание учиться и развиваться в области ИТ; Среднее профессиональное образование/высшее (желательно техническое); Базовые знания работы с ОС Linux будут преимуществом.  Что мы предлагаем:   Работа в Ростелекоме —это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться;   Профессиональный рост: реальная возможность получить повышение благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами;   Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность;   Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""",,"Обеспечивать техническое обслуживание СВТ; оргтехники в составе АРМ пользователей в зоне ответственности; Организовывать установку, настройку и сопровождение офисного и специализированного программного обеспечения в составе автоматизированных рабочих мест пользователей; Блочный ремонт ПК и оргтехники; замена расходников",Желание учиться; развиваться в области ИТ,,Среднее профессиональное образование/высшее (желательно техническое);,Базовые знания работы с ОС Linux будут преимуществом
"""Обязанности:  Кураторство строительства объектов B2C и анализ производственной деятельности подрядных организаций. Контроль за ходом строительства объектов связи. Предупреждение и устранение нарушений хода производственного процесса. Контроль за своевременной подачей заявок, изготовления, поставки конструкций. Контроль исполнения календарных графиков строительства. Выдача материалов. Ведение документации.  Требования:  Образование среднее/высшее; Уверенное пользование ПК. Знание принципов организации связи.  Условия:  Работа в крупнейшем национальном провайдере цифровых сервисов России; Оформление по ТК РФ (официальная заработная плата, оплачиваемый больничный, ежегодный отпуск); Финансовая стабильность: оклад + квартальная премия + годовая премия; Корпоративная мобильная связь; Медицинская страховка (ДМС), после прохождения испытательного срока; График работы - 5/2 ; Дружный коллектив высококлассных специалистов, у которых есть чему поучиться; Эффективная система наставничества позволит вам быстрее адаптироваться в компании.""",,"Кураторство строительства объектов B2C и анализ производственной деятельности подрядных организаций; Контроль за ходом строительства объектов связи; Предупреждение и устранение нарушений хода производственного процесса; Контроль за своевременной подачей заявок, изготовления, поставки конструкций; Контроль исполнения календарных графиков строительства; Выдача материалов; Ведение документации",,5/2,Образование среднее/высшее,пользование ПК; Знание принципов организации связи
"""Обязанности:  Строительство волоконно-оптических линий связи по существующей инфраструктуре, включая сварку оптического кабеля, монтаж кроссового оборудования;  Требования:  Средне-техническое профессиональное образование (Желательно); Опыт прокладки линий связи, опыт работы с оптоволокном будет вашим преимуществом; Знание отрасли телекоммуникаций, принципов построения сетей связи; Готовность к работе разъездного характера.  Условия:  Новое оборудование, комфортный служебный автотранспорт; Работа в Ростелекоме —это официальное оформление и широкий соцпакет, а ещё уникальная среда и возможность отточить свое мастерство на масштабных проектах, которыми можно гордиться; Стабильная оплата труда без задержек; Пятидневная рабочая неделя с выходными сб и вс; Работа преимущественно разъездного характера на корпоративном транспорте; Работа в бригаде (3 человека); Профессиональный рост: реальная возможность получить повышение или горизонтальную ротацию в первый год благодаря опытным коллегам, наставникам и бесплатным консультациям с менторами и карьерными консультантами; Медстраховка после испытательного срока (телемедицина),жилищная и пенсионная программы, дополнительные выплаты (к отпуску, вступление в брак, рождение ребенка),помощь корпоративного психолога и юриста; Насыщенная жизнь внутри компании: спортивные события и турниры, лидерские программы, киберспорт, конкурсы и яркие праздники, волонтерство и благотворительность Скидки на услуги Ростелекома, выгодные предложения от партнеров: рестораны и магазины, фитнес-центры, банки, отели и базы отдыха.""","Опыт прокладки линий связи, опыт работы с оптоволокном будет вашим преимуществом","Строительство волоконно-оптических линий связи по существующей инфраструктуре, включая сварку оптического кабеля; монтаж кроссового оборудования",Готовность к работе разъездного характера,Пятидневная рабочая неделя,Средне-техническое профессиональное образование (Желательно);,"Знание отрасли телекоммуникаций, принципов построения сетей связи"
